PointName,TouristZone,PointType,ServiceClass,Latitude,Longitude,OpenDate,CloseDate,DaysMax,DaysMin,TouristsCount,AvPointPrice,NeedGuide,WorkersCount,TransportType,Tourists2022,Tourists2021,Tourists2020,Tourists2019,Tourists2018,Tourists2017,Tourists2016
с. Черевково,Красноборский район,Достопримечательность,Недифференцирован,61.780900, ,45.278935,круглогодично,круглогодично,15,1, , ,нет, ,Автомобиль, автобус,,,,,,,
"Санаторий ""Солониха""",Красноборский район,Санаторий,Недифференцирован,61.509683, ,45.998683,круглогодично,круглогодично,15,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Резиденция Матушки Зимы,Ленский район,Детский туризм,Недифференцирован,62.172214, ,49.078397,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Церковь во имя Всех Святых (Яренск),Ленский район,Достопримечательность,Недифференцирован,62.172591, ,49.101592,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Лешуконский дом ремёсел,Лешуконский район,Этнический центр,Недифференцирован,64.900670, ,45.763164,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Мезенский историко-краеведческий музей,Мезенский район,Музей,Недифференцирован,65.840800, ,44.246118,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
"Музей ""Короля лыж"" В.С. Кузина",Мезенский район,Музей,Недифференцирован,65.572896, ,44.606834,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Музей мельниц,Мезенский район,Музей,Недифференцирован,65.573143, ,44.607297,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Одигитриевская церковь в Кимже,Мезенский район,Музей,Недифференцирован,65.571011, ,44.606233,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
"Национальный парк ""Онежское Поморье""","Национальный парк ""Онежское Поморье""",Нац. парк,Недифференцирован,64.970226, ,37.204318,круглогодично,круглогодично,15,1, , ,нет, ,Автомобиль, автобус,,,,,,,
"""Дом Няна"", краеведческий центр",Няндомский район,Достопримечательность,Недифференцирован,61.663596, ,40.204070,круглогодично,круглогодично,1,1, , ,да, ,Внедорожник,,,,,,,
Белое море,Онежский район,Водный туризм,Недифференцирован,65.961796, ,38.429728,круглогодично,круглогодично,15,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Вознесенская церковь и колокольня в Пияле,Онежский район,Достопримечательность,Недифференцирован,63.461038,39.067961,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Деревянный храм Зосимы и Савватия Соловецких (XIX век) и деревянный тройник (XVII - XVIII век),Онежский район,Достопримечательность,Недифференцирован,63.943525,37.698328,круглогодично,круглогодично,1,1, , ,нет, ,Внедорожник,,,,,,,
Дом-музей полярного исследователя Александра Кучина,Онежский район,Музей,Недифференцирован,63.907730,38.120311,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Кий-остров в Белом море,Онежский район,Достопримечательность,Недифференцирован,64.002149,, 37.883535,круглогодично,круглогодично,15,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Крестный монастырь на острове Кий,Онежский район,Достопримечательность,Недифференцирован,63.998502, ,37.890115,круглогодично,круглогодично,1,1, , ,нет, ,Водный,,,,,,,
Онежский историко-мемориальный музей,Онежский район,Музей,Недифференцирован,63.900479, ,38.115364,круглогодично,круглогодично,1,1, , ,нет, ,Водный,,,,,,,
Поморское село Ворзогоры,Онежский район,Достопримечательность,Недифференцирован,63.891788, ,37.671363,круглогодично,круглогодично,15,1, , ,нет, ,Автомобиль, автобус,,,,,,,
