Location;Name;InfType;WorkersCount;OpenData;CloseDate;Tourists;AvPrice;Tourists2022;Tourists2021;Tourists2020;Tourists2019;Tourists20218;Tourists2017;Tourists2016
"Городской округ ""Город Архангельск""";"Кафе-кондитерская ""Булочка""";Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Пивная ;бар;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кофейня «Coffee Grizzly» ;Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе быстрого питания «Быстро и точка» ;Кафе;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе быстрого питания «Sabway» 3 этаж в ТРЦ «Макси»;Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе быстрого питания «Starfoods» 3 этаж в ТРЦ «Макси»;Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ташир-пицца 3 этаж ТРЦ ""Макси""";Кафе;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-кондитерская «Венский пекарь» 2 этаж в ТРЦ «Макси»;Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Iris Pizza» 2 этаж в ТРЦ «Макси»;Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ресторан «Ферма Роджера» ;Ресторан;34;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Бар ""Винчестер""";бар;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Пиццерия «Престо» в ТРЦ «Макси» 1 этаж;Кафе;41;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Куба»;Кафе;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Грядка""";Кафе;25;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе-бар ""29""";Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Паб (бар) Берлога Паб;бар;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-магазин разливного пива;Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""KFC""";Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-парк;Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Кофе Лайк""";Кафе;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Сушикраб""";Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Шаурма Хаус""";Кафе;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Вкус суши""";Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Столовая ""Харчо""";Столовая;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Столовая ""По домашнему""";Столовая;7;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Блин Хауз»;Кафе;21;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-бар «Фонтан»;Кафе;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Бар «Оригинал» ;бар;15;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-пиццерия «Оригинал» ;Кафе;9;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафетерий «Под мостом»;Кафе;1;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кулинария «Двинские»;Кафе;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Бар «Пивная лавка»;бар;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Бар «Метелица»;бар;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Грядка""";Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Столовая «Грядка»;Столовая;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Столовая ""Мама Арни""";Столовая;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Меридиан»;Кафе;15;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Грядка""";Кафе;16;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Винегрет»;Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Леоград"" 3 этаж ТЦ ""Соломбала молл""";Кафе;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Сабвей"" 3 этаж ТЦ ""Соломбала молл""";Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Ромштекс в Соломбале""";Кафе;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе-пиццерия ""Инфинити""";Кафе;8;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Бар «Кружка»;Кафе;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Бар ""Пилот""";бар;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Бар ""Секретное место""";бар;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Пивной бар ""Кего""";бар;;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Бар  «Кофе «Калипсо»;бар;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кулинария ""Кушать подано""";Столовая;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Буфет-кондитерская ""Буфет № 5"" 1 этаж ТЦ ""Соломбала молл""";Столовая;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Столовая «Горячие обеды «Романовъ»;Столовая;12;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
с. Яренск, ул. Трудовая, 9 тел. 8/81859/5-22-27, 5-27-47;"Кафе ""Огонёк""";Кафе;10;круглогодично;круглогодично;200;270;3000;2000;1000;1000;2000;2000;2000
с.Яренск, ул. И.Фиолетова, 1в 89116724671;"Кафе ""TODES""";Кафе;4;круглогодично;круглогодично;50;350;500;500;200;200;200;500;500
п. Урдома, ул. Паламышская,8 8/81859/6-34-60;"Ресторан ""Колизей""";ресторан;8;круглогодично;круглогодично;120;500;3000;2000;0;1200;1500;1500;1500
с.Яренск, ул. Дубинина,54, 8/81859/5-28-45;"Кафе ""Катерина""";Кафе;4;круглогодично;круглогодично;30;270;1500;1200;500;500;1200;1200;1200
п.Урдома, ул. Калинина,21  8/81859/6-66-05;"кафе ""Белкин дом""";Кафе;7;круглогодично;круглогодично;30;270;1500;1200;500;500;1200;1200;1200
п. Урдома, ул. Гагарина,1;"Пиццерия ""Верона""";Кафе;4;круглогодично;круглогодично;30;350;1700;1500;1200;500;500;0;0
п. Урдома, ул. Калинина,5 8/81859/6-36-67;"Кафе ""Северные зори""";Кафе;6;круглогодично;круглогодично;50;270;1500;1200;500;500;1200;1200;1200
Город Мезень;Кафе Райпо;Кафе;6;круглогодично;круглогодично;100;300;1200;1000;800;600;0;0;0
Каргопольский муниципальный округ, д. Усачевская, пер. Школьный, д.4;"""Ромашка""";кафе;4;круглогодично;круглогодично;25;300;3200;2500;;;;0;0
Каргопольский муниципальный округ, д. Бронево, ул. Архангельская,д. 1;"""Валерия""";кафе;2;круглогодично;круглогодично;30;300;2000;1800;1800;1800;1800;1800;1600
г. Каргополь, пр.Октябрьский , д. 113 б;"""Малиновка""";кафе;;круглогодично;круглогодично;40;350;2000;2000;2000;2172;;;
г. Каргополь, ул. Гагарина,  д. 9;"""Шелковня""";кафе;5;круглогодично;круглогодично;30;300;3000;2800;;;;;
г. Каргополь, ул. Ленинградская, д.13;"""На Ленинградской""";кафе;5;круглогодично;круглогодично;25;300;2500;2500;;;;;
г. Каргополь, ул. Гагарина, д. 9 (2 этаж);"""Рашен Сушен""";кафе;6;круглогодично;круглогодично;20;350;3500;3200;3000;;;;
г. Каргополь, ул. Набережная им. Баранова, д.32, (2 этаж);"""Аляска""";кафе;2;круглогодично;круглогодично;25;350;2000;2500;2500;;;;
д. Шелоховская, ул.  Архангельская , д. 1г;"""Мельница""";кафе;3;круглогодично;круглогодично;20;300;2000;2000;;;;;
г. Каргополь, ул. Ленинградская,  д.4;"""Онега""";кафе;4;круглогодично;круглогодично;15;300;500;600;;;;;
д. Гавриловская, д. 42;"""Поляна""";кафе;2;круглогодично;круглогодично;30;300;2500;3000;3000;3000;3000;2500;
г. Шенкурск;"Кафе ""Шенкурский пасад""";кафе;18;круглогодично;круглогодично;800;250-300;информация не собирается;информация не собирается;информация не собирается;информация не собирается;информация не собирается;информация не собирается;информация не собирается
г. Шенкурск;кафетерий  ;кафе;3;круглогодично;круглогодично;288;150;;;;;;;
г. Шенкурск;"кафе ""Метелица""";кафе;2;круглогодично;круглогодично;560;300;;;;;;;
г. Шенкурск;"кафе ""Теремок""";кафе;13;круглогодично;круглогодично;1728;250-300;;;;;;;
г. Шенкурск;"кафе ""Узбекская кухня""";кафе;5;круглогодично;круглогодично;520;200;;;;;;;
г. Шенкурск;"кафе ""Встреча""";кафе;1;круглогодично;круглогодично;528;250-300;;;;;;;
г. Шенкурск;"кафе ""Дорожное""";кафе;4;круглогодично;круглогодично;336;250-300;;;;;;;
п. Приводино;"кафе ""Счасливый день""";Кафе;8;круглогодично;круглогодично;150;305;9100;4000;2000;8000;8000;;0
Км 451+360 автодороги «Урень-Шарья-Никольск-Котлас»;"кафе ""Гостиный двор""";Кафе;6;круглогодично;круглогодично;200;305;10900;5450;3000;9000;9000;;
д.Куимиха;"кафе ""Чайный домик""";Кафе;8;круглогодично;круглогодично;200;300;18000;10000;7000;18000;18000;18000;
п.Коноша;"кафе ""Смак""";Кафе;2;круглогодично;круглогодично;50;100;18000;17000;0;0;0;0;0
п.Коноша;"кафе ""Меридиан""";Кафе;2;круглогодично;круглогодично;30;300;11000;10000;10000;16000;17000;16000;15000
п.Коноша;"кафе ""Frech"" на пр. Октябрьском ";Кафе;6;круглогодично;круглогодично;200;350;14000;0;0;0;0;0;0
п.Коноша;"кафе ""Frech"" на ул. Молодежная ";Кафе;9;круглогодично;круглогодично;150;350;13000;13000;4500;0;0;0;0
п.Коноша;"гриль-бар ""Дача""";бар;2;круглогодично;круглогодично;20;250;7300;4300;0;0;0;0;0
п.Коноша;"бар ""Пирамида""";бар;2;круглогодично;круглогодично;85;250;4700;0;0;0;0;0;0
п.Подюга Коношского р-на;"кафе ""Лаванда""";Кафе;3;круглогодично;круглогодично;20;200;560;0;0;0;0;0;0
Лешуконское;"ПО ""Устьвашка""";Кафе;10;круглогодично;круглогодично;300;300;2000;1900;1500;1500;1000;0;0
Город1;Ресторан Вега;Кафе;15;круглогодично;круглогодично;1000;300;2000;2000;2000;1500;1000;0;0
с. Илинско- Подомское;Закусочная с.И-Подомское; ;5;круглогодично;круглогодично;50;300; ; ; ; ; ; ; 
с. Илинско- Подомское;Кафе-пиццерия;Кафе-пиццерия;4;круглогодично;круглогодично;100;350; ; ; ; ; ; ; 
с. Илинско- Подомское;Кафе «Винтаж»;Кафе;2;круглогодично;круглогодично;40;250; ; ; ; ; ; ; 
Конгур;Кафе- Бар Конгур;Кафе- Бар;2;круглогодично;круглогодично;40;320; ; ; ; ; ; ; 
с. Вилегодск;Кафе-магазин «Пригодино»;Кафе-магазин ;2;круглогодично;круглогодично;30;300; ; ; ; ; ; ; 
п. Широкий-Прилук;Кафе «Родник»;Кафе;4;круглогодично;круглогодично;100;320; ; ; ; ; ; ; 
Котлас;«Сапфир»;Ресторан;35;круглогодично;круглогодично;-;-;-;-;-;-;-;-;-
Котлас;«Родня»;Ресторан;7;круглогодично;круглогодично;-;-;-;-;-;-;-;-;-
Котлас;«Гранат»;Ресторан;6;круглогодично;круглогодично;-;-;-;-;-;-;-;-;-
Котлас;«Легенда»;Ресторан;20;круглогодично;круглогодично;-;-;-;-;-;-;-;-;-
Котлас;«Медведь»;Ресторан;15;круглогодично;круглогодично;-;-;-;-;-;-;-;-;-
Котлас;«Апельсин»;Ресторан;26;круглогодично;круглогодично;-;-;-;-;-;-;-;-;-
Котлас;«Кофетаун»;Кафе;17;круглогодично;круглогодично;-;-;-;-;-;-;-;-;-
Котлас;«Рататуй»;Кафе;20;круглогодично;круглогодично;-;-;-;-;-;-;-;-;-
Котлас;«Глобус»;Кафе;20;круглогодично;круглогодично;-;-;-;-;-;-;-;-;-
Котлас;«Панорама»;Кафе;15;круглогодично;круглогодично;-;-;-;-;-;-;-;-;-
Котлас;«Пена и соль»;Кафе;2;круглогодично;круглогодично;-;-;-;-;-;-;-;-;-
Котлас;«Корона»;Кафе;3;круглогодично;круглогодично;-;-;-;-;-;-;-;-;-
Котлас;«Русь»;Кафе;23;круглогодично;круглогодично;-;-;-;-;-;-;-;-;-
Котлас;«Дружба»;Кафе;2;круглогодично;круглогодично;-;-;-;-;-;-;-;-;-
Архангельская область, Приморский район, пос.Соловецкий, ул.Заозерная, д.4, корп.1;"""Кают-компания""";Кафе;4;июнь;сентябрь;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена
Архангельская область, Приморский район, пос.Соловецкий, ул.Заозерная, д.26;"""Изба""";Ресторан;10;июнь;сентябрь;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена
Архангельская область, Приморский район, пос.Соловецкий, ул.Заозерная, д.17А;"""Соловецкая Слобода""";Ресторан;10;круглогодично;круглогодично;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена
Архангельская область, Приморский район, пос.Соловецкий, ул.Ковалева, д.15;«Старый карбас»;Кафе;4;круглогодично;круглогодично;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена
Архангельская область, Приморский район, пос.Соловецкий, ул.Ковалева, д.8;"""Соло Норд""";Кафе;4;круглогодично;круглогодично;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена
Архангельская область, Приморский район, набережная бухты Благополучия (Спасо-Преображенский Соловецкий ставропигиальный мужской монастырь);нет;Трапезная;4;июнь;сентябрь;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена
Архангельская область, Приморский район, пос.Соловецкий, ул.Северная (с правой стороны по проезду к причалу Хета);«Варяг»                  ;Кафе;информация не предоставлена;июнь;сентябрь;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена
Архангельская область, Приморский район, д.Малые Карелы, строение 1;"""Малые Карелы""";Ресторан;25;круглогодично;круглогодично;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена
"Архангельская область, Приморский район, СНТ ""Транспортник"", база отдыха ""Лукоморье"", строение 1";"""Лукоморье""";Ресторан;3;круглогодично;круглогодично;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена
"Архангельская область, Приморский район, пос.Беломорье, д.21, помещение 6 (санаторий ""Беломорье"")";нет;Столовая;8;круглогодично;круглогодично;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена
"Архангельская область, Приморский район, пос.Беломорье, д.21, помещение 6 (санаторий ""Беломорье"")";нет;Кафе;7;круглогодично;круглогодично;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена
Архангельская область, Приморский район, пос.Катунино, ул.Летчика Панкова, д.4;"""Апельсин""";Кафе;10;круглогодично;круглогодично;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена;информация не предоставлена
