Location;Name;InfType;WorkersCount;OpenData;CloseDate;Tourists;AvPrice;Tourists2022;Tourists2021;Tourists2020;Tourists2019;Tourists20218;Tourists2017;Tourists2016
"Городской округ ""Город Архангельск""";Ресторан «Летний сад»;Ресторан;11;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ресторан «Зимний сад»;Ресторан;14;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ресторан «Поморский»;Ресторан;15;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ресторан «Почтовая контора 1786 год»;Ресторан;20;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ресторан «Паратов»;Ресторан;20;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ресторан «Старый город Баку»;Ресторан;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ресторан «Лофт-проект «Слон»;Ресторан;15;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Бар «Луна» в ТРЦ «Экватор»;Кафе;9;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Пивной ресторан «Бочка»;Ресторан;30;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ресторан «Ковчег»;Ресторан;20;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ресторан «Гранат»;Ресторан;12;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Рестобар «КитаЯма»;Ресторан;9;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ресторан ""Генацвале""";Ресторан;15;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Суши-ресторан ""РИНКАН"" ";Ресторан;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ресторан ""REKA""";Ресторан;30;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ресторан ""Жаркий"" в ТЦ ""Кронштадт""";Ресторан;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ресторан ""Иль Густо""";Ресторан;50;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ресторан ""BAZAR""";Ресторан;30;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Семейный ресторан ""Пицца Фабрика""";Кафе;20;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Английский паб  «Локк  Сток»;Ресторан;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Британский паб «Честер»;Ресторан;11;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ресторан ""Армения""";Ресторан;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Бар ""BEER&HONEY""";бар;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ночной клуб «Пеликан»;бар;14;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Гриль-бар ""Птица-рыба""";Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Пивной бар «Берлога»;бар;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Бар «Глав Пив бар»;бар;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ночной клуб «Эксклюзив»;бар;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Бар «Чердак» в ТРК «Европарк»;Ресторан;12;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Гастро-паб «Студия-17»;бар;9;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Лаундж-бар ""Come in""";бар;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Бургерная «Beef&Beer»;Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Бар-тир;бар;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
